Operating_Income,OCF,Revenue,Total_Assets,Total_Equity,Date,Net_Income,Ticker,Retained_Earnings,CapEx,EBIT,COGS,Working_Capital
6534000000.0,5409000000.0,43175000000.0,96846000000.0,4420000000.0,2024-07-31,4561000000.0,HD,87357000000.0,-719000000.0,6618000000.0,28759000000.0,4150000000.0
6534000000.0,5409000000.0,43175000000.0,96846000000.0,4420000000.0,2024-04-30,4561000000.0,HD,87357000000.0,-719000000.0,6618000000.0,28759000000.0,4150000000.0
6534000000.0,5409000000.0,43175000000.0,96846000000.0,4420000000.0,2024-01-31,4561000000.0,HD,87357000000.0,-719000000.0,6618000000.0,28759000000.0,4150000000.0
,29547000000.0,44882000000.0,4552482000000.0,336879000000.0,2025-06-30,14987000000.0,JPM,397424000000.0,,,,
,-251839000000.0,45327000000.0,4357856000000.0,331375000000.0,2025-03-31,14643000000.0,JPM,386616000000.0,,,,
,147758000000.0,42791000000.0,4002814000000.0,324708000000.0,2024-12-31,14005000000.0,JPM,376166000000.0,,,,
,-74081000000.0,42656000000.0,4210048000000.0,324186000000.0,2024-09-30,12898000000.0,JPM,365966000000.0,,,,
,38469000000.0,42068000000.0,4143003000000.0,316652000000.0,2024-06-30,18149000000.0,JPM,356924000000.0,,,,
,38469000000.0,42068000000.0,4143003000000.0,316652000000.0,2024-03-31,18149000000.0,JPM,356924000000.0,,,,
4319000000.0,3811000000.0,12535000000.0,104333000000.0,28585000000.0,2025-06-30,3810000000.0,KO,78803000000.0,-442000000.0,5241000000.0,4714000000.0,4665000000.0
3718000000.0,-5202000000.0,11129000000.0,101716000000.0,26202000000.0,2025-03-31,3330000000.0,KO,77189000000.0,-309000000.0,4444000000.0,4163000000.0,2370000000.0
2865000000.0,3951000000.0,11544000000.0,100549000000.0,24856000000.0,2024-12-31,2195000000.0,KO,76054000000.0,-803000000.0,3237000000.0,4613000000.0,748000000.0
3516000000.0,-1259000000.0,11854000000.0,106266000000.0,26518000000.0,2024-09-30,2848000000.0,KO,75946000000.0,-469000000.0,3805000000.0,4664000000.0,1719000000.0
3971000000.0,3585000000.0,12363000000.0,101202000000.0,25853000000.0,2024-06-30,2411000000.0,KO,75189000000.0,-422000000.0,3446000000.0,4812000000.0,2336000000.0
3971000000.0,3585000000.0,12363000000.0,101202000000.0,25853000000.0,2024-03-31,2411000000.0,KO,75189000000.0,-422000000.0,3446000000.0,4812000000.0,2336000000.0
3261000000.0,1998000000.0,6843000000.0,59555000000.0,-2760000000.0,2025-06-30,2253000000.0,MCD,68424000000.0,-744000000.0,3251000000.0,2881000000.0,1303000000.0
2654000000.0,2428000000.0,5955000000.0,56329000000.0,-3454000000.0,2025-03-31,1868000000.0,MCD,67436000000.0,-551000000.0,2706000000.0,2619000000.0,727000000.0
2879000000.0,2631000000.0,6388000000.0,55182000000.0,-3796000000.0,2024-12-31,2016000000.0,MCD,66834000000.0,-807000000.0,2918000000.0,2709000000.0,738000000.0
3229000000.0,2736000000.0,6874000000.0,56172000000.0,-5177000000.0,2024-09-30,2255000000.0,MCD,64819000000.0,-794000000.0,3224000000.0,2998000000.0,-1396000000.0
3027000000.0,1689000000.0,6490000000.0,53801000000.0,-4824000000.0,2024-06-30,2022000000.0,MCD,65026000000.0,-628000000.0,2928000000.0,2772000000.0,295000000.0
3027000000.0,1689000000.0,6490000000.0,53801000000.0,-4824000000.0,2024-03-31,2022000000.0,MCD,65026000000.0,-628000000.0,2928000000.0,2772000000.0,295000000.0
34323000000.0,42647000000.0,76441000000.0,619003000000.0,343479000000.0,2025-06-30,27233000000.0,MSFT,237731000000.0,-17079000000.0,33231000000.0,24014000000.0,49913000000.0
32000000000.0,37044000000.0,70066000000.0,562624000000.0,321891000000.0,2025-03-31,25824000000.0,MSFT,219759000000.0,-16745000000.0,31971000000.0,21919000000.0,42438000000.0
31653000000.0,22291000000.0,69632000000.0,533898000000.0,302695000000.0,2024-12-31,24108000000.0,MSFT,203482000000.0,-15804000000.0,29959000000.0,21799000000.0,38198000000.0
30552000000.0,34180000000.0,65585000000.0,523013000000.0,287723000000.0,2024-09-30,24667000000.0,MSFT,188929000000.0,-14923000000.0,30851000000.0,20099000000.0,34726000000.0
27925000000.0,37195000000.0,64727000000.0,512163000000.0,268477000000.0,2024-06-30,22036000000.0,MSFT,173144000000.0,-13873000000.0,27951000000.0,19684000000.0,34448000000.0
27925000000.0,37195000000.0,64727000000.0,512163000000.0,268477000000.0,2024-03-31,22036000000.0,MSFT,173144000000.0,-13873000000.0,27951000000.0,19684000000.0,34448000000.0
3774694000.0,2423258000.0,11079166000.0,53099664000.0,24951899000.0,2025-06-30,3125413000.0,NFLX,37316681000.0,-155889000.0,3814324000.0,5325311000.0,3050771000.0
3346999000.0,2789199000.0,10542801000.0,52087644000.0,24028073000.0,2025-03-31,2890351000.0,NFLX,34191268000.0,-128277000.0,3397898000.0,5263147000.0,1979113000.0
2272766000.0,1536894000.0,10246513000.0,53630374000.0,24743567000.0,2024-12-31,1868607000.0,NFLX,31300917000.0,-158674000.0,2326871000.0,5767364000.0,2344979000.0
2909477000.0,2321101000.0,9824703000.0,52281844000.0,22720736000.0,2024-09-30,2363509000.0,NFLX,29432310000.0,-126863000.0,2909477000.0,5119884000.0,1421973000.0
2602837000.0,1290847000.0,9559310000.0,49098895000.0,22112693000.0,2024-06-30,2147306000.0,NFLX,27068801000.0,-78287000.0,2681842000.0,5174143000.0,-524446000.0
2602837000.0,1290847000.0,9559310000.0,49098895000.0,22112693000.0,2024-03-31,2147306000.0,NFLX,27068801000.0,-78287000.0,2681842000.0,5174143000.0,-524446000.0
28440000000.0,15365000000.0,46743000000.0,140740000000.0,100131000000.0,2025-07-31,26422000000.0,NVDA,88737000000.0,-1895000000.0,31268000000.0,12890000000.0,77962000000.0
21638000000.0,27414000000.0,44062000000.0,125254000000.0,83843000000.0,2025-04-30,18775000000.0,NVDA,72158000000.0,-1227000000.0,21973000000.0,17394000000.0,63393000000.0
24034000000.0,16629000000.0,39331000000.0,111601000000.0,79327000000.0,2025-01-31,22091000000.0,NVDA,68038000000.0,-1077000000.0,25278000000.0,10608000000.0,62079000000.0
21869000000.0,17627000000.0,35082000000.0,96013000000.0,65899000000.0,2024-10-31,19309000000.0,NVDA,53950000000.0,-813000000.0,22377000000.0,8926000000.0,51161000000.0
18642000000.0,14488000000.0,30040000000.0,85227000000.0,58157000000.0,2024-07-31,16599000000.0,NVDA,45961000000.0,-977000000.0,19275000000.0,7466000000.0,45664000000.0
18642000000.0,14488000000.0,30040000000.0,85227000000.0,58157000000.0,2024-04-30,16599000000.0,NVDA,45961000000.0,-977000000.0,19275000000.0,7466000000.0,45664000000.0
18642000000.0,14488000000.0,30040000000.0,85227000000.0,58157000000.0,2024-01-31,16599000000.0,NVDA,45961000000.0,-977000000.0,19275000000.0,7466000000.0,45664000000.0
4354000000.0,4985000000.0,20889000000.0,125231000000.0,51235000000.0,2025-06-30,3615000000.0,PG,129973000000.0,-996000000.0,4733000000.0,10631000000.0,-10666000000.0
4558000000.0,3705000000.0,19776000000.0,122984000000.0,51491000000.0,2025-03-31,3769000000.0,PG,128919000000.0,-859000000.0,4878000000.0,9694000000.0,-9813000000.0
5741000000.0,4825000000.0,21882000000.0,122639000000.0,50380000000.0,2024-12-31,4630000000.0,PG,127544000000.0,-925000000.0,6085000000.0,10418000000.0,-8155000000.0
5797000000.0,4302000000.0,21737000000.0,126482000000.0,51049000000.0,2024-09-30,3959000000.0,PG,125361000000.0,-993000000.0,5378000000.0,10421000000.0,-8971000000.0
3885000000.0,5754000000.0,20532000000.0,122370000000.0,49488000000.0,2024-06-30,3137000000.0,PG,123811000000.0,-783000000.0,4090000000.0,10348000000.0,-8918000000.0
3885000000.0,5754000000.0,20532000000.0,122370000000.0,49488000000.0,2024-03-31,3137000000.0,PG,123811000000.0,-783000000.0,4090000000.0,10348000000.0,-8918000000.0
6792000000.0,6730000000.0,10172000000.0,100024000000.0,37793000000.0,2025-06-30,5272000000.0,V,15956000000.0,-421000000.0,6372000000.0,1973000000.0,3971000000.0
6435000000.0,4695000000.0,9594000000.0,92853000000.0,37150000000.0,2025-03-31,4577000000.0,V,16518000000.0,-327000000.0,5596000000.0,1881000000.0,2553000000.0
6278000000.0,5396000000.0,9510000000.0,91888000000.0,37392000000.0,2024-12-31,5119000000.0,V,17438000000.0,-345000000.0,6382000000.0,2020000000.0,3531000000.0
6359000000.0,6664000000.0,9617000000.0,94511000000.0,38106000000.0,2024-09-30,5318000000.0,V,17289000000.0,-309000000.0,6548000000.0,1817000000.0,7516000000.0
5951000000.0,5134000000.0,8900000000.0,91040000000.0,38304000000.0,2024-06-30,4872000000.0,V,18578000000.0,-400000000.0,6185000000.0,1773000000.0,8427000000.0
5951000000.0,5134000000.0,8900000000.0,91040000000.0,38304000000.0,2024-03-31,4872000000.0,V,18578000000.0,-400000000.0,6185000000.0,1773000000.0,8427000000.0
